name,source,sourcevalue,port,protocol,description
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-import,111,tcp,Allow TCP 111 from Import server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-viewer-cache,111,tcp,Allow TCP from Viewer Cache server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-editor,111,udp,Allow UDP 111 from Editor server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-edm,111,udp,Allow UDP 111 from EDM server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-login,111,udp,Allow UDP 111 from Login server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-viewer,111,udp,Allow UDP 111 from Viewer server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-import,111,udp,Allow UDP 111 from Import server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-viewer-cache,111,udp,Allow UDP 111 from Viewer Cache server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-editor,2049,tcp,Allow TCP 2049 from Editor server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-edm,2049,tcp,Allow TCP 2049 from EDM server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-login,2049,tcp,Allow TCP 2049 from Login server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-viewer,2049,tcp,Allow TCP 2049 from Viewer server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-import,2049,tcp,Allow TCP 2049 from Import server
sgr-eas-prd-fileserver,group_name,sgr-eas-prd-viewer-cache,2049,tcp,Allow TCP 2049 from Viewer Cache server


sgr-eas-prd-rules,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-rules,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-rules,group_name,sgr-eas-prd-api,3002,tcp,Allow TCP 3002 from API server
sgr-eas-prd-rules,group_name,sgr-eas-prd-viewer,3002,tcp,Allow TCP 3002 from Viewer server


sgr-eas-prd-import,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-import,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-import,group_name,sgr-eas-prd-edm,80,tcp,Allow HTTP from API server
sgr-eas-prd-import,group_name,sgr-eas-prd-proxy,80,tcp,Allow HTTP from Proxy server
sgr-eas-prd-import,group_name,sgr-eas-prd-edm,443,tcp,Allow HTTPS from API server
sgr-eas-prd-import,group_name,sgr-eas-prd-proxy,443,tcp,Allow HTTPS from Proxy server


sgr-eas-prd-pdf,cidr_ip,10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-pdf,cidr_ip,10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-pdf,group_name,sgr-eas-prd-api,3000,tcp,Allow TCP 3002 from API server


sgr-eas-prd-api,cidr_ip10.26.90.229/32,22,tcp,Allow SSH from VPN
sgr-eas-prd-api,cidr_ip10.26.88.169/32,20,tcp,Allow SSH from Ansible
sgr-eas-prd-api,group_name,sgr-eas-prd-import,8080,tcp,Allow TCP 8080 from Import, server
sgr-eas-prd-api,group_name,sgr-eas-prd-proxy,8081,tcp,Allow TCP 8081 from Proxy server
sgr-eas-prd-api,group_name,sgr-eas-prd-viewer,8085,tcp,Allow TCP 8085 from Viewer server
